task,origin,model,segment,metric,value,n
A availability,O1 valid=2024-12,baseline: global rate,ALL,Brier,0.21952282275510185,6009
A availability,O1 valid=2024-12,baseline: global rate,ALL,LogLoss,0.6308944991357732,6009
A availability,O1 valid=2024-12,baseline: shifted appearance rate(10),ALL,Brier,0.17686972345423607,6009
A availability,O1 valid=2024-12,baseline: shifted appearance rate(10),ALL,LogLoss,0.633627267292071,6009
A availability,O1 valid=2024-12,logistic regression,ALL,Brier,0.1531438566905145,6009
A availability,O1 valid=2024-12,logistic regression,ALL,LogLoss,0.47784868739577685,6009
A availability,O1 valid=2024-12,LightGBM classifier,ALL,Brier,0.1331721646873923,6009
A availability,O1 valid=2024-12,LightGBM classifier,ALL,LogLoss,0.4226538707621161,6009
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,ALL,MAE,4.92417922990111,4054
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,star (>=30),MAE,3.8963827937117728,1122
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,starter (20-30),MAE,5.134964823169074,1437
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,bench (10-20),MAE,5.635092198971784,1014
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,fringe (<10),MAE,5.054532650419035,474
B minutes|played,O1 valid=2024-12,baseline: expanding season mean,unknown (no history),MAE,14.586383789217118,7
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),ALL,MAE,4.799385234859109,4054
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),star (>=30),MAE,3.791262108333413,1122
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),starter (20-30),MAE,4.97672633694126,1437
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),bench (10-20),MAE,5.543418558257497,1014
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),fringe (<10),MAE,4.911866678874536,474
B minutes|played,O1 valid=2024-12,baseline: EWMA (halflife 5),unknown (no history),MAE,14.586383789217118,7
B minutes|played,O1 valid=2024-12,ridge,ALL,MAE,4.79005971555758,4054
B minutes|played,O1 valid=2024-12,ridge,star (>=30),MAE,3.928180287394695,1122
B minutes|played,O1 valid=2024-12,ridge,starter (20-30),MAE,4.865107821851779,1437
B minutes|played,O1 valid=2024-12,ridge,bench (10-20),MAE,5.512230960512402,1014
B minutes|played,O1 valid=2024-12,ridge,fringe (<10),MAE,5.027674395325121,474
B minutes|played,O1 valid=2024-12,ridge,unknown (no history),MAE,6.829143866984693,7
B minutes|played,O1 valid=2024-12,LightGBM,ALL,MAE,4.74927126784288,4054
B minutes|played,O1 valid=2024-12,LightGBM,star (>=30),MAE,3.8334681476300956,1122
B minutes|played,O1 valid=2024-12,LightGBM,starter (20-30),MAE,4.806717590537584,1437
B minutes|played,O1 valid=2024-12,LightGBM,bench (10-20),MAE,5.5126451883508,1014
B minutes|played,O1 valid=2024-12,LightGBM,fringe (<10),MAE,5.108387856219504,474
B minutes|played,O1 valid=2024-12,LightGBM,unknown (no history),MAE,4.849030822257482,7
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,ALL,MAE,4.555290879710372,4054
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,star (>=30),MAE,5.831139785102456,1122
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,starter (20-30),MAE,4.768471332818914,1437
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,bench (10-20),MAE,3.7220995071123095,1014
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,fringe (<10),MAE,2.6223366470375358,474
C1 pts|played,O1 valid=2024-12,baseline: expanding season mean,unknown (no history),MAE,7.874373041776878,7
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),ALL,MAE,4.571266716109381,4054
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),star (>=30),MAE,5.928104045436059,1122
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),starter (20-30),MAE,4.75565215253477,1437
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),bench (10-20),MAE,3.6987610050476656,1014
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),fringe (<10),MAE,2.618240747942905,474
C1 pts|played,O1 valid=2024-12,baseline: EWMA (halflife 5),unknown (no history),MAE,7.874373041776878,7
C1 pts|played,O1 valid=2024-12,ridge,ALL,MAE,4.54129185878777,4054
C1 pts|played,O1 valid=2024-12,ridge,star (>=30),MAE,5.843823015733468,1122
C1 pts|played,O1 valid=2024-12,ridge,starter (20-30),MAE,4.721653203832322,1437
C1 pts|played,O1 valid=2024-12,ridge,bench (10-20),MAE,3.7186335309183343,1014
C1 pts|played,O1 valid=2024-12,ridge,fringe (<10),MAE,2.67965326592737,474
C1 pts|played,O1 valid=2024-12,ridge,unknown (no history),MAE,3.9660099378364535,7
C1 pts|played,O1 valid=2024-12,LightGBM,ALL,MAE,4.558369883848216,4054
C1 pts|played,O1 valid=2024-12,LightGBM,star (>=30),MAE,5.887983796438459,1122
