,gain
games_since_last_app,557840.6820933819
days_since_last_app,108505.18571305275
avail_rate_10,92451.8478770256
uncond_std_MIN,16768.024346351624
avail_rate_std,12872.969439029694
roll3_MIN,9214.123480081558
TEAM_REST_DAYS,8336.78966331482
uncond_std_PTS,7961.129618167877
OPP_DEF_FORM,7327.793090105057
n_appearances,7271.863287568092
std_MIN,5775.392803668976
avail_rate_20,4845.064520359039
ewma_MIN,4486.202595233917
roll5_MIN,4203.765287637711
std_PTS,3975.145875930786
uncond_std_AST,3830.6404254436493
roll10_MIN,3693.2983667850494
std_AST,3677.0705273151398
std_FGA,3657.983742237091
roll10_PTS,2926.098618745804
roll3_PTS,2661.736656665802
roll5_PTS,2517.0352120399475
ewma_AST,2343.6479165554047
ewma_PTS,2337.0793817043304
roll10_AST,2242.681944131851
roll10_FGA,2218.920089006424
roll5_FGA,2187.0977289676666
ewma_FGA,2162.5992937088013
roll3_FGA,2152.492176294327
OPP_REST_DAYS,1580.0821301937103
roll5_AST,1480.2690591812134
roll3_AST,1399.6481461524963
IS_HOME,897.1158957481384
IS_B2B,896.6316962242126
insufficient_history,41.201239585876465
has_history,0.0
