,gain
games_since_last_app,680971.1115717888
days_since_last_app,41658.567735910416
avail_rate_10,35048.798167705536
vacated_usg,16508.20517683029
vacated_minutes,13386.98558998108
depth_rank_available,12973.820430755615
uncond_std_MIN,12783.069733381271
avail_rate_std,12647.661491155624
vacated_fga,12489.826423883438
uncond_std_PTS,9470.748259782791
n_appearances,8049.039700984955
roll3_MIN,7539.907072544098
TEAM_REST_DAYS,7258.895990610123
OPP_DEF_FORM,6633.285373926163
std_MIN,5491.387888431549
vacated_minutes_pos,4935.1244213581085
avail_rate_20,4697.869752883911
usg_ewma,3631.25532746315
uncond_std_AST,3473.8751957416534
roll5_MIN,3298.853168964386
roll10_MIN,3059.2648963928223
ewma_MIN,2989.703209877014
std_AST,2931.382565498352
std_FGA,2422.406522512436
std_PTS,2411.398001432419
ewma_AST,2073.6560277938843
roll3_PTS,1945.81503367424
depth_rank_available_pos,1895.0372560024261
roll10_PTS,1813.8469262123108
ewma_FGA,1599.3417105674744
roll10_FGA,1523.2599482536316
top3_usage_out_count,1488.702709197998
ewma_PTS,1487.6619198322296
roll10_AST,1408.9870586395264
roll5_FGA,1309.731652021408
roll5_PTS,1273.1487691402435
roll3_FGA,1199.4144830703735
roll5_AST,1066.1799819469452
OPP_REST_DAYS,1024.9541265964508
IS_B2B,1008.9913320541382
roll3_AST,882.9531309604645
IS_HOME,793.7825179100037
star_out,415.58178639411926
insufficient_history,45.391250133514404
has_history,0.0
