,gain
games_since_last_app,569130.7434313297
days_since_last_app,116506.48399233818
avail_rate_10,68745.69377923012
avail_rate_std,15950.554280757904
uncond_std_MIN,11967.755207061768
uncond_std_PTS,9944.891362667084
roll3_MIN,9047.194323301315
games_with_current_team,8973.145236730576
TEAM_REST_DAYS,8781.327051639557
exp_depth_rank,7695.906980514526
exp_vacated_usg,7606.795961856842
OPP_DEF_FORM,4720.24148440361
avail_rate_20,4670.119998931885
season_appearances,4627.555245399475
teammate_magnitude_ess,4624.324376344681
n_appearances,4606.575804948807
std_MIN,4579.958367347717
exp_depth_rank_pos,4378.989883422852
exp_vacated_minutes_pos,3620.358167409897
ewma_MIN,3598.7624673843384
usg_ewma,3337.225150346756
exp_top3_usage_out,3191.881234407425
exp_vacated_fga,3172.209287881851
exp_vacated_minutes,3156.177209377289
uncond_std_AST,2981.768722295761
roll5_MIN,2964.3659591674805
roll10_MIN,2916.1014766693115
p_star_out,2817.612081050873
std_FGA,2756.287029981613
std_AST,2732.1878321170807
std_PTS,2217.827926635742
ewma_AST,1928.1904520988464
roll3_PTS,1773.9627742767334
roll10_PTS,1536.10249710083
roll5_FGA,1465.2353467941284
roll10_AST,1380.058466911316
ewma_PTS,1252.9242777824402
roll10_FGA,1245.9080221652985
roll3_FGA,1234.8892884254456
roll5_PTS,1213.445500612259
roll5_AST,1168.2619590759277
ewma_FGA,1163.1269602775574
roll3_AST,868.6707184314728
OPP_REST_DAYS,744.8726086616516
IS_B2B,680.7339525222778
IS_HOME,616.840339422226
is_rookie,321.808287858963
is_traded,259.4382109642029
magnitude_ess,143.2563910484314
insufficient_history,8.732930183410645
has_history,0.0
