origin,fold,target,method,MAE,n
O1 valid=2024-12,inner1,PTS,h3,4.556968296702213,4371
O1 valid=2024-12,inner1,PTS,h5,4.506816603171223,4371
O1 valid=2024-12,inner1,PTS,h8,4.480096875005041,4371
O1 valid=2024-12,inner1,PTS,h12,4.472654876748617,4371
O1 valid=2024-12,inner1,PTS,h20,4.47873670379635,4371
O1 valid=2024-12,inner1,PTS,expanding,4.555420464687773,4371
O1 valid=2024-12,inner1,AST,h3,1.3111005865706782,4371
O1 valid=2024-12,inner1,AST,h5,1.3013569034589523,4371
O1 valid=2024-12,inner1,AST,h8,1.3001886442032744,4371
O1 valid=2024-12,inner1,AST,h12,1.302893191201,4371
O1 valid=2024-12,inner1,AST,h20,1.3086039101047493,4371
O1 valid=2024-12,inner1,AST,expanding,1.3255932797680312,4371
O1 valid=2024-12,inner1,REB,h3,1.86510199559073,4371
O1 valid=2024-12,inner1,REB,h5,1.8423074357368656,4371
O1 valid=2024-12,inner1,REB,h8,1.8330337796033511,4371
O1 valid=2024-12,inner1,REB,h12,1.8313195869130834,4371
O1 valid=2024-12,inner1,REB,h20,1.8328282540260366,4371
O1 valid=2024-12,inner1,REB,expanding,1.84366675055616,4371
O1 valid=2024-12,inner1,STL,h3,0.733948781334204,4371
O1 valid=2024-12,inner1,STL,h5,0.7226279043922689,4371
O1 valid=2024-12,inner1,STL,h8,0.7151829950648942,4371
O1 valid=2024-12,inner1,STL,h12,0.7107408762177589,4371
O1 valid=2024-12,inner1,STL,h20,0.7071603295487457,4371
O1 valid=2024-12,inner1,STL,expanding,0.7025788833827411,4371
O1 valid=2024-12,inner1,BLK,h3,0.5248518352275361,4371
O1 valid=2024-12,inner1,BLK,h5,0.5208142819748892,4371
O1 valid=2024-12,inner1,BLK,h8,0.5192916249229225,4371
O1 valid=2024-12,inner1,BLK,h12,0.5183791695934918,4371
O1 valid=2024-12,inner1,BLK,h20,0.517678347684576,4371
O1 valid=2024-12,inner1,BLK,expanding,0.5157315560506558,4371
O1 valid=2024-12,inner1,TOV,h3,0.9391522043465915,4371
O1 valid=2024-12,inner1,TOV,h5,0.918879822286549,4371
O1 valid=2024-12,inner1,TOV,h8,0.9068786491956291,4371
O1 valid=2024-12,inner1,TOV,h12,0.9011046834944927,4371
O1 valid=2024-12,inner1,TOV,h20,0.8981919261289689,4371
O1 valid=2024-12,inner1,TOV,expanding,0.9036887362229515,4371
O1 valid=2024-12,inner1,FG3M,h3,0.8904186300708048,4371
O1 valid=2024-12,inner1,FG3M,h5,0.8806697137957331,4371
O1 valid=2024-12,inner1,FG3M,h8,0.8760567406438144,4371
O1 valid=2024-12,inner1,FG3M,h12,0.8746472678595875,4371
O1 valid=2024-12,inner1,FG3M,h20,0.8739692876442046,4371
O1 valid=2024-12,inner1,FG3M,expanding,0.8794158321295987,4371
O1 valid=2024-12,inner1,FGM,h3,1.7523332848564557,4371
O1 valid=2024-12,inner1,FGM,h5,1.7305570852091174,4371
O1 valid=2024-12,inner1,FGM,h8,1.7191426070836324,4371
O1 valid=2024-12,inner1,FGM,h12,1.714296051892354,4371
O1 valid=2024-12,inner1,FGM,h20,1.7146864553152743,4371
O1 valid=2024-12,inner1,FGM,expanding,1.739532222461267,4371
O1 valid=2024-12,inner1,FGA,h3,2.7081363543908457,4371
O1 valid=2024-12,inner1,FGA,h5,2.688848545557887,4371
O1 valid=2024-12,inner1,FGA,h8,2.6871784894957758,4371
O1 valid=2024-12,inner1,FGA,h12,2.6930645846954127,4371
O1 valid=2024-12,inner1,FGA,h20,2.70661143417223,4371
O1 valid=2024-12,inner1,FGA,expanding,2.7692433418576585,4371
O1 valid=2024-12,inner1,FTM,h3,1.2590719698472037,4371
O1 valid=2024-12,inner1,FTM,h5,1.2456200216830988,4371
O1 valid=2024-12,inner1,FTM,h8,1.2384852368918164,4371
O1 valid=2024-12,inner1,FTM,h12,1.2355861761494709,4371
O1 valid=2024-12,inner1,FTM,h20,1.2370969909956917,4371
O1 valid=2024-12,inner1,FTM,expanding,1.2580297663140914,4371
O1 valid=2024-12,inner1,FTA,h3,1.5491118227283753,4371
