target,halflife,estimator,best_grid_halflife,best_grid_mae,default_mae,gain_vs_default,origins_won,origins,expanding_mae,expanding_gain_vs_chosen,ambiguous,rule
PTS,5.0,ewma,12.0,4.497085405520506,4.528290202893577,0.006891077200204765,2,5,4.577801014340175,-0.010933665738772858,False,FROZEN by the production tournament
AST,5.0,ewma,12.0,1.303186001308638,1.3103302971970785,0.0054522862698991315,1,5,1.329071095427808,-0.014302346721905002,False,FROZEN by the production tournament
REB,20.0,ewma,20.0,1.8526377756484174,1.8717085149234418,0.01018894722280217,5,5,1.8626823331276845,-0.005421760050073221,False,selected on inner folds
STL,20.0,expanding,20.0,0.7066679965152434,0.71946958739906,0.01779309523018946,5,5,0.7025907392903616,0.005769692762354728,False,selected on inner folds
BLK,5.0,ewma,12.0,0.508637939128079,0.5101438564796441,0.0029519464606651002,1,5,0.5111150313012915,-0.0019037273688822243,True,default (evidence ambiguous)
TOV,20.0,ewma,20.0,0.8881150689478392,0.904740480530595,0.01837589003755602,5,5,0.8923486798117409,-0.004766962088502025,False,selected on inner folds
FG3M,20.0,ewma,20.0,0.8672551680650089,0.8771794916767257,0.011313902919397378,5,5,0.8710725358212542,-0.004401666195616327,False,selected on inner folds
FGM,5.0,ewma,20.0,1.7213468454367387,1.7372473555595362,0.009152703598547918,2,5,1.742288300610409,-0.002901685263610121,True,default (evidence ambiguous)
FGA,5.0,ewma,8.0,2.705940174643137,2.7130269182844535,0.0026121169655765053,3,5,2.781311162064116,-0.025169025533606337,True,default (evidence ambiguous)
FTM,12.0,ewma,12.0,1.3007561146400657,1.3084527754983983,0.005882261096814112,4,5,1.3277357182912966,-0.020741477474196968,False,selected on inner folds
FTA,12.0,ewma,12.0,1.5835497475369007,1.5932013419517599,0.006057987876808779,4,5,1.6158040211174807,-0.02036833615789413,False,selected on inner folds
