origin,n,v3-honest,v4,delta_pct,late_season,endpoint
O1 valid=2024-12,5697,0.07548234885183326,0.07509068343122316,-0.005188834562884554,False,availability_brier
O2 valid=2025-01,6863,0.0716623435383215,0.07155812149818415,-0.001454348755446715,False,availability_brier
O3 valid=2025-02,5235,0.0765490386241562,0.076353803613224,-0.002550456732589091,False,availability_brier
O4 valid=2025-12,6058,0.07201398640717926,0.07143556803496523,-0.008032028236064578,False,availability_brier
O5 valid=2026-01,7064,0.06440473862788086,0.06408344464033579,-0.004988670001464541,False,availability_brier
O6 valid=2025-03-15..04-12,6679,0.0833833211007128,0.08209122359833246,-0.01549587477835891,True,availability_brier
O1 valid=2024-12,4035,4.686411415428407,4.684966609222039,-0.00030829692024288255,False,minutes_mae
O2 valid=2025-01,4864,4.568788695347752,4.546143720679872,-0.004956450424362792,False,minutes_mae
O3 valid=2025-02,3739,4.785928354425599,4.76100072517632,-0.005208525369216701,False,minutes_mae
O4 valid=2025-12,4247,4.737972160256618,4.721565859750039,-0.0034627262363842288,False,minutes_mae
O5 valid=2026-01,4968,4.595584514637486,4.5706956780744274,-0.0054158152208461634,False,minutes_mae
O6 valid=2025-03-15..04-12,4645,5.045087400729353,5.010448964968442,-0.006865775160982048,True,minutes_mae
O1 valid=2024-12,5697,3.9910536552137907,3.977075613002655,-0.0035023438466870163,False,uncond_pts_mae
O2 valid=2025-01,6863,3.836344023062183,3.8415480540031672,0.0013565078912893096,False,uncond_pts_mae
O3 valid=2025-02,5235,4.099646674715554,4.0848537269682295,-0.003608346992085936,False,uncond_pts_mae
O4 valid=2025-12,6058,3.9764208858243975,3.9610634506196143,-0.0038621251738041908,False,uncond_pts_mae
O5 valid=2026-01,7064,3.8083855736632377,3.7932630768216073,-0.003970841856509876,False,uncond_pts_mae
O6 valid=2025-03-15..04-12,6679,4.1777570711495375,4.154118267347996,-0.0056582523586124756,True,uncond_pts_mae
